disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
1071,Closed,2005-03-10T05:00:00.000Z,2756605,2834575,150940,0,2540914,24881,38956,78884,3aa35ac0b6a680f5b84a3345ed08912f,2020-01-09T15:07:39.455Z,5d1fafd787fac86ceb885034
1337,Closed,2003-10-08T04:00:00.000Z,950900,782081,0,0,770958,0,0,11123,44dbf370daf60efd0ebc14d185148c2f,2020-01-09T15:07:39.477Z,5d1fafd787fac86ceb885035
1326,Closed,2006-07-03T04:00:00.000Z,314981,333150,15417,0,299563,0,7513,10657,bd9fe69e1c1774592f734b02e53d8386,2020-01-09T15:07:39.598Z,5d1fafd787fac86ceb885036
1506,Closed,2015-09-03T04:00:00.000Z,2192856,1791043,0,0,1694475,93086,3482,0,47216bf0d937a1879ace20da95db3795,2020-01-09T15:07:39.515Z,5d1fafd787fac86ceb885037
1211,Closed,2004-01-20T05:00:00.000Z,437358,413384,4100,0,390572,0,8189,10523,f35583a1522f69fafa955d0a7933e977,2020-01-09T15:07:39.509Z,5d1fafd787fac86ceb885038
1785,Closed,2017-05-31T04:00:00.000Z,16982845,15748405,1397327,766741,12753904,830433,0,0,cfc7931078aaf24eb8a241c7d6764076,2020-01-09T15:07:39.530Z,5d1fafd787fac86ceb885039
1863,Closed,2018-09-28T04:00:00.000Z,895384,631452.15,0,0,594535,36917.15,0,0,88688becf2c1a052e015c0943ad75533,2020-01-09T15:07:39.510Z,5d1fafd787fac86ceb88503a
1167,Closed,2007-07-03T04:00:00.000Z,1375224,1354321,0,0,1167359,128532,24300,34130,a2c65b29e9104e4d11577478004f325e,2020-01-09T15:07:39.446Z,5d1fafd787fac86ceb88503b
1070,Closed,2007-03-13T04:00:00.000Z,6732557,6427682,384301,0,5790272,51516,67799,133794,21a69d9ede09603e7a83fd70325e0cfd,2020-01-09T15:07:39.436Z,5d1fafd787fac86ceb88503c
1613,Closed,2010-08-25T04:00:00.000Z,954811,622180,0,0,587129,0,13180,21871,1c408983684269af50159ecb2465352f,2020-01-09T15:07:39.038Z,5d1fafd787fac86ceb88503d
932,Open,,292500,205303,0,0,191632,0,5006,8665,b1e88d4a1ae535b1b8c4b476e1fa17eb,2020-01-09T15:07:39.447Z,5d1fafd787fac86ceb88503e
1869,Closed,2018-01-24T05:00:00.000Z,4816052,309213,0,43898,265313,2,0,0,2ca046ca3adc10c09762eaab78f67cdb,2020-01-09T15:07:39.388Z,5d1fafd787fac86ceb88503f
1317,Closed,2008-04-24T04:00:00.000Z,658284,438084,0,0,413152,0,9570,15362,c85e328e19fe8042c5139c4f43366ff4,2020-01-09T15:07:39.056Z,5d1fafd787fac86ceb885040
931,Open,,863755,0,0,0,0,0,0,0,4edf9ded7744d119888ff3ab6eacb3ba,2020-01-09T15:07:39.385Z,5d1fafd787fac86ceb885041
1504,Closed,2014-04-23T04:00:00.000Z,53527,57338,0,0,53527,0,1670,2141,725532d88bde8b8d785009748240a50c,2020-01-09T15:07:39.507Z,5d1fafd787fac86ceb885042
1866,Closed,2019-07-03T04:00:00.000Z,1416356,1485616,135550,47090,1233716,69260,0,0,dd9f98e3ac692266d7f0ef6323f0c938,2020-01-09T15:07:39.463Z,5d1fafd787fac86ceb885043
1095,Closed,2002-08-15T04:00:00.000Z,15542791,12664211,739640,0,10837075,675236,98827,313433,bbb38b77bd17765e024efa85ba472279,2020-01-09T15:07:39.454Z,5d1fafd787fac86ceb885044
929,Closed,2000-06-29T04:00:00.000Z,725943,704328,0,0,660004,0,14791,29533,58c3f916e3f8a38fea04933abebaabfb,2020-01-09T15:07:39.632Z,5d1fafd787fac86ceb885045
1870,Closed,2018-08-22T04:00:00.000Z,3097396,1672344,52797,0,1468084,151463,0,0,22a93a05a728d5f01f3639b9e5ae5809,2020-01-09T15:07:39.581Z,5d1fafd787fac86ceb885046
1862,Closed,2015-07-23T04:00:00.000Z,1568221,1071884,55304,70500,869394,76686,0,0,bb21be665fba88751faafe180810fd87,2020-01-09T15:07:39.480Z,5d1fafd787fac86ceb885047
933,Closed,2001-02-02T05:00:00.000Z,315162,338908,13419,0,289581,12162,7626,16120,d3b208b65b3093ac94f15c78a41b3315,2020-01-09T15:07:39.506Z,5d1fafd787fac86ceb885048
852,Closed,1998-05-09T04:00:00.000Z,1370360,1273006,0,0,1147302,50000,23495,52209,c64b44fa588213e0de18c6c27c7e97ad,2020-01-09T15:07:39.385Z,5d1fafd787fac86ceb885049
988,Closed,1999-04-27T04:00:00.000Z,198465,212580,0,0,198465,0,5149,8966,acd4c26917c2dd07951c0b6cb3aec363,2020-01-09T15:07:39.584Z,5d1fafd787fac86ceb88504a
1114,Closed,2001-06-13T04:00:00.000Z,297032,315846,0,0,297032,0,7173,11641,94702dcf68d841d3fac26f4f97c1861b,2020-01-09T15:07:39.418Z,5d1fafd787fac86ceb88504b
1661,Closed,2014-09-25T04:00:00.000Z,2718456,1713943,92418,179763,1229220,165000,14980,32562,32358954450f942fcd6ce485441dc0b0,2020-01-09T15:07:39.610Z,5d1fafd787fac86ceb88504c
937,Open,,0,0,0,0,0,0,0,0,3887de9138caeb8d3c00c4f2212afc9c,2020-01-09T15:07:39.452Z,5d1fafd787fac86ceb88504d
1319,Closed,2004-12-24T05:00:00.000Z,1211989,1289906,17250,0,1194737,0,23662,54257,7ceed1a6950bd72b5e794d4e4f530dfa,2020-01-09T15:07:39.550Z,5d1fafd787fac86ceb88504e
925,Closed,1999-04-15T04:00:00.000Z,697749,0,0,0,0,0,0,0,e3029f2a17d22d6f1b5cebdbe14babd5,2020-01-09T15:07:39.632Z,5d1fafd787fac86ceb88504f
1144,Closed,1999-01-12T05:00:00.000Z,797752.65,761794,64775,0,582978,75000,15918,23123,9ece6f74a0fd40a25bdc1beac91d4d76,2020-01-09T15:07:39.399Z,5d1fafd787fac86ceb885050
934,Closed,1999-09-13T04:00:00.000Z,78096,54548,0,0,49961,0,1589,2998,fe8e9d72ad27c1c28af7f9cff9411d92,2020-01-09T15:07:39.601Z,5d1fafd787fac86ceb885051
1871,Closed,2017-07-27T04:00:00.000Z,2189113,1746827,67624,141263,1432139,105801,0,0,1da3c5f45f43ad14fb96894a30783e15,2020-01-09T15:07:39.449Z,5d1fafd787fac86ceb885052
1955,Closed,2017-09-24T04:00:00.000Z,1386668,1065773,0,45564,953664,66545,0,0,3a158bcab8aa9c84893ec34957e6688a,2020-01-09T15:07:39.457Z,5d1fafd787fac86ceb885053
1646,Closed,2015-06-02T04:00:00.000Z,2091716,1394670,104585,33840,1024161,174428,22973,34683,4637789365d8e0d7de1fed92c30b9e06,2020-01-09T15:07:39.441Z,5d1fafd787fac86ceb885054
1029,Closed,1999-04-15T04:00:00.000Z,84482,90367,0,0,84482,0,2632,3253,a70d8f45e9c85681eea9737ded4bc52d,2020-01-09T15:07:39.492Z,5d1fafd787fac86ceb885055
1692,Closed,2014-04-25T04:00:00.000Z,12521914,1680577,109223,647109,694076,183574,0,46595,84697a8d138cd8ca5f6f30103f4c4ca9,2020-01-09T15:07:39.489Z,5d1fafd787fac86ceb885056
1039,Closed,1998-12-07T05:00:00.000Z,8551871,8719963,0,0,7933178,618693,79204,88888,6df78d2fab0224496e2517e806f3a992,2020-01-09T15:07:39.601Z,5d1fafd787fac86ceb885057
1691,Closed,2011-03-03T05:00:00.000Z,179335,186168,0,0,179334,0,168,6666,aae4c73744e17614e80f613d5296004b,2020-01-09T15:07:39.444Z,5d1fafd787fac86ceb885058
1959,Open,,3805002,1552665,181310,145020,1040270,186065,0,0,593a59758b2bb6f87b871a104b830bf9,2020-06-06T16:33:48.131Z,5d1fafd787fac86ceb885059
987,Open,,0,0,0,0,0,0,0,0,e93762c2c6aee48eb5ebb0625252a18b,2020-01-09T15:07:39.021Z,5d1fafd787fac86ceb88505a
1590,Closed,2011-03-16T04:00:00.000Z,0,0,0,0,0,0,0,0,4b6ebbf03fea804385a385d1dfcf502b,2020-01-09T15:07:39.029Z,5d1fafd787fac86ceb88505b
1392,Closed,2007-04-04T04:00:00.000Z,1780705,1792038,89034,108385,1534797,0,23668,36154,af85252cbf87c96ed83ba9a6cb515a1b,2020-01-09T15:07:39.428Z,5d1fafd787fac86ceb88505c
4006,Closed,2019-06-12T04:00:00.000Z,187216,148547.19,0,0,141118.5,7428.69,0,0,572397f096b94a0291def156e5ea04f4,2020-01-09T15:07:39.502Z,5d1fafd787fac86ceb88505d
1183,Closed,2002-08-22T04:00:00.000Z,836786,883110,38171,0,725254,73361,18296,28028,7211f21986959cf71fc6363762beac81,2020-01-09T15:07:39.525Z,5d1fafd787fac86ceb88505e
1021,Closed,2002-05-17T04:00:00.000Z,714965,752215,35820,0,672902,6243,15730,21520,0fe278aa4c08a9662c5c239da9550e2d,2020-01-09T15:07:39.568Z,5d1fafd787fac86ceb88505f
920,Closed,1995-09-08T04:00:00.000Z,733715,665409,0,0,621066,0,14028,30315,199f0f5b861e25699067d6914045427b,2020-01-09T15:07:39.604Z,5d1fafd787fac86ceb885060
1026,Closed,1997-06-01T04:00:00.000Z,192744,205368,70839,0,121905,0,5007,7617,0f45f21ddec95baa717d02dc6c7c307c,2020-01-09T15:07:39.466Z,5d1fafd787fac86ceb885061
1400,Closed,2011-01-28T05:00:00.000Z,408983,105414,0,0,101763,0,1,3650,8addab2bf941b77132e24f97428f1e80,2020-01-09T15:07:39.499Z,5d1fafd787fac86ceb885062
4009,Closed,2017-02-28T05:00:00.000Z,2164673,381333,51961,110004,113923,105445,0,0,0ff8e4832f67164bf38dcd07c259d927,2020-01-09T15:07:39.035Z,5d1fafd787fac86ceb885063
1960,Open,,7159924,6602711.59,0,210389.77,6043249.82,349072,0,0,51d1830e006ad58bfc8f6efa25747b55,2020-05-19T17:01:24.430Z,5d1fafd787fac86ceb885064
1108,Closed,2004-04-22T04:00:00.000Z,151500,158280,7575,0,140494,0,4151,6060,7f41e7c8d6fb3d507e9c1c48a246c1a6,2020-01-09T15:07:39.436Z,5d1fafd787fac86ceb885065
1695,Closed,2015-06-10T04:00:00.000Z,3764858,3622962,0,0,3466759,0,46762,109441,a0cf47ef5634733b0efc8827bd589199,2020-01-09T15:07:39.017Z,5d1fafd787fac86ceb885066
1693,Closed,2015-07-20T04:00:00.000Z,3988075,2554032,30000,0,2440840,0,12299,70893,7612b01522c1c0b97e6c3eb432036eae,2020-01-09T15:07:39.535Z,5d1fafd787fac86ceb885067
1323,Closed,2005-01-02T05:00:00.000Z,814508,556864,42857,0,426402,63134,10386,14085,a3c8be8d28a44e0db66c434fda6ebeef,2020-01-09T15:07:39.405Z,5d1fafd787fac86ceb885068
1696,Closed,2013-06-07T04:00:00.000Z,1091647,877049,0,0,856564,0,3673,16812,b4bc5858272bc6398b2e5f73367f9986,2020-01-09T15:07:39.025Z,5d1fafd787fac86ceb885069
4020,Open,,104157146,70920743.42,5932500,1535605.5,59120868.92,4331769,0,0,febc1b350b20ce59816304470afa0fa3,2020-07-10T16:33:32.665Z,5d1fafd787fac86ceb88506a
1698,Closed,2012-12-11T05:00:00.000Z,519457,506120,0,0,493464,0,0,12656,b41d48b770bdb04684d5cbc2e932aa03,2020-01-09T15:07:39.518Z,5d1fafd787fac86ceb88506b
1975,Closed,2018-10-10T04:00:00.000Z,11341479,8857972.23,0,197485,8477977.3,182509.93,0,0,ecf3578d82a2d52e46cfd15a52dbc837,2020-01-09T15:07:39.433Z,5d1fafd787fac86ceb88506c
1699,Closed,2014-08-06T04:00:00.000Z,14984795,11181858,0,78750,11102065,0,1043,0,6c2ea22b69060aad4ce337c37262b809,2020-01-09T15:07:39.523Z,5d1fafd787fac86ceb88506d
1052,Closed,2002-06-04T04:00:00.000Z,2797428,2915339,0,0,2792072,5356,39756,78155,c846f0aad18b73adc134ff7705bb9241,2020-01-09T15:07:39.628Z,5d1fafd787fac86ceb88506e
1439,Closed,2012-09-10T04:00:00.000Z,7879153,7154189,0,74415,6739112,194477,25428,120757,de93f6dcdf1a47b9245738083de33385,2020-01-09T15:07:39.387Z,5d1fafd787fac86ceb88506f
1760,Closed,2014-07-14T04:00:00.000Z,320390,196919,0,0,191968,4951,0,0,cf18f0bfb086971018ede01c0c05def7,2020-01-09T15:07:39.571Z,5d1fafd787fac86ceb885070
1300,Closed,2009-05-05T04:00:00.000Z,4130244,3599288,413024,0,2732408,334092,41702,78062,02d871114588421bfbfaf5f8c1b9fb37,2020-01-09T15:07:39.504Z,5d1fafd787fac86ceb885071
1892,Closed,2016-11-21T05:00:00.000Z,942863,894520,0,0,891947,2573,0,0,ed73ddadf5a099bd567d0cefe502b239,2020-01-09T15:07:39.446Z,5d1fafd787fac86ceb885072
1139,Closed,2002-06-30T04:00:00.000Z,372812,390800,0,0,303953,68859,8643,9345,f8ad72ff025fd85f095081396d92735c,2020-01-09T15:07:39.472Z,5d1fafd787fac86ceb885073
1762,Closed,2015-11-12T05:00:00.000Z,190197,182642,0,0,179093,3549,0,0,76fcb8fb1b20c2979c3a068e86d9ed1f,2020-01-09T15:07:39.589Z,5d1fafd787fac86ceb885074
1162,Closed,2000-09-01T04:00:00.000Z,3797592,3651921,173377,0,3203021,132161,46301,97061,d85be0f0211ccf8859307c387fa21478,2020-01-09T15:07:39.412Z,5d1fafd787fac86ceb885075
1891,Closed,2017-03-21T04:00:00.000Z,646313,224743,0,0,223900,843,0,0,c5573f66a0adb1f1ae20a0986ded7876,2020-01-09T15:07:39.583Z,5d1fafd787fac86ceb885076
1694,Closed,2014-01-06T05:00:00.000Z,5022844,4954462,59772,452473,4415877,0,0,26340,f945b72e15c62cc18a80c2426291b4fd,2020-01-09T15:07:39.576Z,5d1fafd787fac86ceb885077
899,Open,,1583836,1663964,0,0,1583836,0,27366,52762,8be4c166ff8f89da9280e9c79204ea4a,2020-01-09T15:07:39.470Z,5d1fafd787fac86ceb885078
1575,Closed,2015-07-20T04:00:00.000Z,2403890,222817,112215,0,0,110602,0,0,b8d5a42e3d9aceaeb0ca4ce7c4b7d855,2020-01-09T15:07:39.435Z,5d1fafd787fac86ceb885079
1452,Closed,2010-08-20T04:00:00.000Z,724714,732504,36236,0,625070,35908,14639,20651,f4f0987a702d89a78e951df2e8cc343a,2020-01-09T15:07:39.417Z,5d1fafd787fac86ceb88507a
1147,Closed,2003-11-24T05:00:00.000Z,746081,688807,36400,0,470999,149637,14486,17285,938609275aab9a557046cc03a5d9539c,2020-01-09T15:07:39.598Z,5d1fafd787fac86ceb88507b
1759,Closed,2014-04-11T04:00:00.000Z,1487424,811968,0,57218,682015,72735,0,0,e6127f7d75a97da0a158c742cca63101,2020-01-09T15:07:39.413Z,5d1fafd787fac86ceb88507c
1061,Closed,2000-03-07T05:00:00.000Z,202047,213604,0,0,202047,0,5169,6388,9b27c09f919659cf318fba7a7e04f646,2020-01-09T15:07:39.491Z,5d1fafd787fac86ceb88507d
1882,Closed,2011-10-21T04:00:00.000Z,707341,0,0,0,0,0,0,0,0d00adf0f3358b28404b7f79d367a218,2020-01-09T15:07:39.567Z,5d1fafd787fac86ceb88507e
1453,Closed,2011-01-12T05:00:00.000Z,2415899,2108337,113452,141221,1654883,139133,24079,35569,fe6756830ea3eb3b684a54f8e823ffcd,2020-01-09T15:07:39.580Z,5d1fafd787fac86ceb88507f
1411,Closed,2007-06-27T04:00:00.000Z,1532224,1225737,0,82500,1094781,0,20249,28207,c230dd70a9d6a5c1950c33fcf02bfeaa,2020-01-09T15:07:39.527Z,5d1fafd787fac86ceb885080
1536,Closed,2008-12-29T05:00:00.000Z,284199,155450,0,0,149514,0,4110,1826,22c73c0f63278af174aac84135fc3f51,2020-01-09T15:07:39.631Z,5d1fafd787fac86ceb885081
1138,Closed,2002-12-31T05:00:00.000Z,993387,1044673,0,0,964169,29218,21234,30052,3e5f3b7cf8e135c77e28bab18b676e59,2020-01-09T15:07:39.394Z,5d1fafd787fac86ceb885082
1533,Closed,2006-10-17T04:00:00.000Z,74268,0,0,0,0,0,0,0,cb47c5e3c9f948170ec14c156e533ddb,2020-01-09T15:07:39.509Z,5d1fafd787fac86ceb885083
845,Closed,2008-10-03T04:00:00.000Z,59042024,60646309,0,0,58847024,176455,337544,1285286,9542357da7631f3d98f83dfbf07a42dc,2020-01-09T15:07:39.483Z,5d1fafd787fac86ceb885084
1577,Closed,2013-06-19T04:00:00.000Z,17768290,16609685,730353,0,14957660,563615,115766,242291,4b376a7d20cac911ff47320ea720f45b,2020-01-09T15:07:39.481Z,5d1fafd787fac86ceb885085
1454,Closed,2014-05-01T04:00:00.000Z,3407821,2388516,143079,172574,1774562,200931,32550,64820,a9571d45c3e2a5fb0984f2874d0d9b6c,2020-01-09T15:07:39.462Z,5d1fafd787fac86ceb885086
1660,Closed,2016-03-07T05:00:00.000Z,1197487,1123094,19427,0,958094,100000,15869,29704,d3ba74b9ed0441500adede29da446993,2020-01-09T15:07:39.590Z,5d1fafd787fac86ceb885087
1875,Closed,2016-08-04T04:00:00.000Z,3642750,3397069,14625,0,3206314,176130,0,0,8d3d2b37d09f16fc07afb5ecc5069128,2020-01-09T15:07:39.440Z,5d1fafd787fac86ceb885088
1535,Closed,2008-01-02T05:00:00.000Z,864129,771366,0,0,768016,0,0,3350,6b172cd6193f199452e13d4db8359030,2020-01-09T15:07:39.384Z,5d1fafd787fac86ceb885089
927,Closed,1999-10-28T04:00:00.000Z,7599555,5692393,0,0,5502113,0,64141,126139,f612712d814252505803c3bb47b4d61b,2020-01-09T15:07:39.595Z,5d1fafd787fac86ceb88508a
1886,Closed,2015-04-28T04:00:00.000Z,177856,186548,0,8986,168865,8697,0,0,735e649ce6baf1695e6d174be17884f1,2020-01-09T15:07:39.020Z,5d1fafd787fac86ceb88508b
1009,Closed,2008-03-03T05:00:00.000Z,10805703,10537038,0,0,9922645,313940,88244,212209,4eae7f640acccf7bc5663acc95b9da5a,2020-01-09T15:07:39.451Z,5d1fafd787fac86ceb88508c
1582,Closed,2015-09-03T04:00:00.000Z,722587,462000,0,34748,365782,61470,0,0,e2257e3ab12aad03a05400ef903384cd,2020-01-09T15:07:39.600Z,5d1fafd787fac86ceb88508d
1902,Closed,2015-03-10T04:00:00.000Z,566870,23471,12221,11250,0,0,0,0,302bfceef904d132ce413145769b01c7,2020-01-09T15:07:39.401Z,5d1fafd787fac86ceb88508e
1483,Closed,2004-08-09T04:00:00.000Z,72472,78581,0,0,72472,0,2289,3820,d0d2d63993e259a3c0ad85aafa26a63e,2020-01-09T15:07:39.560Z,5d1fafd787fac86ceb88508f
1895,Open,,13280510,11151437.93,204005,572092,9725923.93,649417,0,0,321393195c25b8284fb9d75171a2791e,2020-02-04T21:01:31.663Z,5d1fafd787fac86ceb885090
1451,Closed,2011-04-04T04:00:00.000Z,567596,560847,15623,0,388471,139473,5270,12010,ba29277709c1a8e4ee3fef379d2c8171,2020-01-09T15:07:39.556Z,5d1fafd787fac86ceb885091
865,Closed,1999-09-15T04:00:00.000Z,811369,804268,0,0,753575,0,16750,33943,cd9e5bc5607b0a5fd17bdbd2d8484ccf,2020-01-09T15:07:39.021Z,5d1fafd787fac86ceb885092
1443,Closed,2010-05-19T04:00:00.000Z,2868022,1685619,0,0,1565309,46579,27119,46612,89daa612051a6ebd3450136013145d40,2020-01-09T15:07:39.542Z,5d1fafd787fac86ceb885093
1093,Closed,1996-01-27T05:00:00.000Z,21373561,21604181,0,0,20631954,373561,142622,456044,9f8eaf63ea2b5cce09ab305db965c89c,2020-01-09T15:07:39.496Z,5d1fafd787fac86ceb885094
1428,Closed,2008-06-30T04:00:00.000Z,288945,237017,0,18750,178333,27144,5096,7694,6bd425787bd5f21515b27901e7a405b3,2020-01-09T15:07:39.027Z,5d1fafd787fac86ceb885095
1532,Closed,2015-01-15T05:00:00.000Z,146831,122040,0,0,90766,25746,2805,2723,97dac2851aa666594bfce6ab1e831895,2020-01-09T15:07:39.491Z,5d1fafd787fac86ceb885096
1336,Closed,2006-07-03T04:00:00.000Z,345628,304005,15000,0,261883,9450,6948,10724,06fd4c4e7d85a94c4dd58bfa7354124d,2020-01-09T15:07:39.622Z,5d1fafd787fac86ceb885097
1587,Closed,2011-06-21T04:00:00.000Z,1716514,1651431,0,114592,1501759,0,1,35079,b745ae146f330d06130bd220b02d45eb,2020-01-09T15:07:39.534Z,5d1fafd787fac86ceb885098
1064,Closed,2000-06-29T04:00:00.000Z,768959,813665,38447,0,730512,0,16935,27771,8f05456f2e41c426fbf233b10d38da73,2020-01-09T15:07:39.565Z,5d1fafd787fac86ceb885099
1045,Closed,2000-03-30T05:00:00.000Z,301860,319172,0,0,301860,0,7239,10073,3f85f07a355f7a2d6083d9d4da15d53f,2020-01-09T15:07:39.462Z,5d1fafd787fac86ceb88509a
1666,Closed,2011-08-09T04:00:00.000Z,486900,339901,0,0,311690,17415,1363,9433,eec041e56d427f69b339cc26207fe283,2020-01-09T15:07:39.024Z,5d1fafd787fac86ceb88509b
1945,Closed,2015-03-17T04:00:00.000Z,437656,14946,14442,0,0,504,0,0,2a98d48f126d3ee80f9530bbe294f944,2020-01-09T15:07:39.464Z,5d1fafd787fac86ceb88509c
1508,Closed,2006-11-06T05:00:00.000Z,144095,152917,0,0,144095,0,3979,4843,e34f77508fbe2781c55314161952a56f,2020-01-09T15:07:39.522Z,5d1fafd787fac86ceb88509d
1389,Closed,2008-04-03T04:00:00.000Z,694221,255255,34711,0,207110,0,5985,7449,e042661662017a1ebf64d7f4945ab911,2020-01-09T15:07:39.459Z,5d1fafd787fac86ceb88509e
1879,Closed,2014-09-09T04:00:00.000Z,2030738,992229,49406,0,932834,9989,0,0,dca20eaa8550fb0cceda90d42ffa25e1,2020-01-09T15:07:39.432Z,5d1fafd787fac86ceb88509f
1592,Closed,2010-12-21T05:00:00.000Z,117432,82281,0,0,80832,0,1449,0,2db27dedfb1d7f2cbc83bf86fe5deb72,2020-01-09T15:07:39.475Z,5d1fafd787fac86ceb8850a0
1373,Closed,2007-01-23T05:00:00.000Z,417874,415221,19635,25239,349628,0,8608,12111,803725f28b73171e3b9a689bf678db63,2020-01-09T15:07:39.570Z,5d1fafd787fac86ceb8850a1
1292,Closed,2012-05-08T04:00:00.000Z,79827003,67665966,2037116,0,64405234,329536,157718,736362,c7bfd0ba1ab8bc5309b55ca8ded3e761,2020-01-09T15:07:39.548Z,5d1fafd787fac86ceb8850a2
1606,Closed,2016-09-06T04:00:00.000Z,103449143,90546358,3711223,0,85545767,167281,25387,1096700,b0d26f16d93e3fe3cfe028769052f05a,2020-01-09T15:07:39.456Z,5d1fafd787fac86ceb8850a3
1164,Closed,2003-06-20T04:00:00.000Z,10161702,10494407,232500,0,9589024,340178,88032,244673,793444052ff097fe7d74652392ca9a72,2020-01-09T15:07:39.530Z,5d1fafd787fac86ceb8850a4
1576,Closed,2010-04-14T04:00:00.000Z,501450,527138,0,0,501450,0,11316,14372,cb3ba7c9b3017d7ad8f5a70641107627,2020-01-09T15:07:39.585Z,5d1fafd787fac86ceb8850a5
1623,Closed,2010-10-26T04:00:00.000Z,2138136,1519690,0,142500,1313816,32071,26143,5160,3053433ffd49f813acf3d37fcec834ec,2020-01-09T15:07:39.391Z,5d1fafd787fac86ceb8850a6
1339,Closed,2006-09-12T04:00:00.000Z,1132279,896815,113228,0,678867,55622,15202,33896,a822f522e171cbe7922f25512951b1ce,2020-01-09T15:07:39.532Z,5d1fafd787fac86ceb8850a7
853,Closed,1998-10-27T05:00:00.000Z,149949,114017,0,0,104623,0,3216,6178,bc055edcfdf8511624318e9eb78e85c3,2020-01-09T15:07:39.631Z,5d1fafd787fac86ceb8850a8
1481,Closed,2010-08-26T04:00:00.000Z,797703,423256,0,0,342457,72588,7617,594,b464bf7aa9ba64f529e98581bf6da39c,2020-01-09T15:07:39.545Z,5d1fafd787fac86ceb8850a9
1449,Closed,2005-05-20T04:00:00.000Z,281691,0,0,0,0,0,0,0,d24d4f444581357208621b89f909c1a0,2020-01-09T15:07:39.033Z,5d1fafd787fac86ceb8850aa
935,Closed,2006-02-21T05:00:00.000Z,2303555,2423172,0,0,2299555,3672,34883,85062,3407ba48f4eaa6cce56958d7384a2e34,2020-01-09T15:07:39.593Z,5d1fafd787fac86ceb8850ab
1841,Open,,9859588,7200326,937419,0,5780773,482134,0,0,c7c5cef2caf8bfecbf6d1de3ea9262ee,2020-01-09T15:07:39.443Z,5d1fafd787fac86ceb8850ac
939,Closed,2000-09-20T04:00:00.000Z,42273,46153,0,0,42273,0,1344,2536,f58bf026b75eee506d74759d10d4b03d,2020-01-09T15:07:39.418Z,5d1fafd787fac86ceb8850ad
1281,Closed,2005-08-15T04:00:00.000Z,724512,704930,33854,0,620426,14886,14802,20962,b97a4ac74dd005bcb5706eb75450da44,2020-01-09T15:07:39.564Z,5d1fafd787fac86ceb8850ae
1238,Closed,2005-03-24T05:00:00.000Z,3337816,3466236,0,0,3294156,43279,45214,83587,23695e13652b549b40e8094d7f817cb0,2020-01-09T15:07:39.555Z,5d1fafd787fac86ceb8850af
1845,Closed,2016-05-16T04:00:00.000Z,1494611,1374399,0,0,1362444,11955,0,0,c2663a29af2b70bad966104758034cda,2020-01-09T15:07:39.488Z,5d1fafd787fac86ceb8850b0
969,Closed,2001-11-13T05:00:00.000Z,66787,72572,0,0,66787,0,2114,3671,f375d466dba13b070cf4139f85225cfe,2020-01-09T15:07:39.514Z,5d1fafd787fac86ceb8850b1
1520,Closed,2012-03-05T05:00:00.000Z,743509,451971,0,0,441755,0,1114,9102,0f2fad89cd491d20d08c61591e65b731,2020-01-09T15:07:39.431Z,5d1fafd787fac86ceb8850b2
1586,Closed,2010-11-08T05:00:00.000Z,619099,91326,24375,35475,15995,10081,2366,3034,326f5c283ed98bcb32cb821cbcd33a46,2020-01-09T15:07:39.575Z,5d1fafd787fac86ceb8850b3
923,Closed,1998-03-03T05:00:00.000Z,61670,67327,0,0,61666,0,1961,3700,f4ac0685500203aec78e380b7b0b2f87,2020-01-09T15:07:39.562Z,5d1fafd787fac86ceb8850b4
1445,Closed,2009-07-15T04:00:00.000Z,1778522,1695298,0,12871,1551703,63683,20929,46112,015dc10eb2d4ee7b0683e552837f8263,2020-01-09T15:07:39.397Z,5d1fafd787fac86ceb8850b5
1640,Closed,2015-02-10T05:00:00.000Z,636249,400486,31809,10187,250423,106114,1765,188,78ece044bc392b214fcc389c7170fca6,2020-01-09T15:07:39.625Z,5d1fafd787fac86ceb8850b6
1589,Closed,2013-03-27T04:00:00.000Z,3449558,1930842,0,76875,1568122,250714,10790,24341,bd191c2f2544aa626eda285e596ce0c8,2020-01-09T15:07:39.016Z,5d1fafd787fac86ceb8850b7
1246,Closed,2005-12-20T05:00:00.000Z,7046729,7197142,61136,0,6913207,0,71628,151171,aacd65f5b4d31edb9068a1807dc9f429,2020-01-09T15:07:39.543Z,5d1fafd787fac86ceb8850b8
881,Closed,2002-06-04T04:00:00.000Z,414000,442062,0,0,414000,0,9648,18414,3a03eb8214ee0ba081f9754fbbce2664,2020-01-09T15:07:39.573Z,5d1fafd787fac86ceb8850b9
1480,Closed,2006-03-24T05:00:00.000Z,242461,245527,0,0,237700,0,488,7339,be7a440043b37ae41e1fa31d8891e452,2020-01-09T15:07:39.616Z,5d1fafd787fac86ceb8850ba
1033,Closed,2007-11-14T05:00:00.000Z,62815979,60955469,6083660,0,50410909,3109644,339082,1012174,38243e3b750c929b0725ad25af7e4aab,2020-01-09T15:07:39.581Z,5d1fafd787fac86ceb8850bb
