disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh,id
1160,Closed,2001-10-23T04:00:00.000Z,1286415,1349833,112325,0,1169838,0,24298,43372,cfcd72b264729c36ab92ef0d617a5c4e,2020-01-09T15:07:39.437Z,5d1fafd987fac86ceb885615
1148,Closed,2002-02-02T05:00:00.000Z,3024523,2072594,0,0,1923280,60000,31412,57902,d67aacdafa17a87341c882dd56f58cbe,2020-01-09T15:07:39.599Z,5d1fafd987fac86ceb885616
1768,Closed,2016-06-01T04:00:00.000Z,24289286,18525751,0,190818,17321992,1012941,0,0,cb7f507e679460f95e0f5efa9a05c63f,2020-01-09T15:07:39.418Z,5d1fafd987fac86ceb885617
1179,Closed,2004-10-09T04:00:00.000Z,1533442,1310813,123929,0,1109505,15300,23869,38210,038c0424859b830be03176bc7b0acde0,2020-01-09T15:07:39.437Z,5d1fafd987fac86ceb885618
876,Closed,1998-02-03T05:00:00.000Z,172145,187122,0,0,172145,0,4649,10328,73bb4a7048e3737e5d4bce41bc125342,2020-01-09T15:07:39.468Z,5d1fafd987fac86ceb885619
1705,Closed,2014-04-03T04:00:00.000Z,3296237,2957925,151976,189016,2377350,150083,15603,73897,ba63af1479ca54053b33e6ebe6702c7d,2020-01-09T15:07:39.550Z,5d1fafd987fac86ceb88561a
1241,Closed,2004-01-15T05:00:00.000Z,311880,302741,0,0,250308,41505,7010,3918,341bc02be7b11b17e4cadcade61a9991,2020-01-09T15:07:39.591Z,5d1fafd987fac86ceb88561b
4047,Closed,2020-03-25T04:00:00.000Z,4077356,482423.45,82757.61,151281.22,49001.89,199382.73,0,0,4728d9624fff03a0f22ca97257fabd49,2020-03-26T17:01:04.679Z,5d1fafd987fac86ceb88561c
1825,Closed,2017-09-29T04:00:00.000Z,5131637,5132047,251477,0,4700037,180533,0,0,caad6c2ab8e6c813f2af133949070bd8,2020-01-09T15:07:39.407Z,5d1fafd987fac86ceb88561d
4404,Open,,80586841,6022764,0,0,4500000,1522764,0,0,5b4a65c16826e59edefd30f5bd24a648,2020-01-31T20:59:10.043Z,5d1fafd987fac86ceb88561e
1528,Closed,2011-01-27T05:00:00.000Z,254672,253348,2097,0,243750,0,1,7500,f73146e4b57f73aa8941cf56a9c37aa8,2020-01-09T15:07:39.452Z,5d1fafd987fac86ceb88561f
1659,Closed,2014-08-06T04:00:00.000Z,2566530,37359,0,34876,0,0,1088,1395,73a2469a24c0075c7be4e3b6077eb37e,2020-01-09T15:07:39.400Z,5d1fafd987fac86ceb885620
1272,Closed,2004-07-25T04:00:00.000Z,12878420,12665798,0,0,12169812,280019,98835,117132,1b6493f603007a15dee358b5c96d214f,2020-01-09T15:07:39.574Z,5d1fafd987fac86ceb885621
1203,Closed,2014-07-22T04:00:00.000Z,39640629,36132902,258517,0,33893889,1163431,195048,622017,ca0cc2f9a70dc6b22b834bbc0c046505,2020-01-09T15:07:39.608Z,5d1fafd987fac86ceb885622
891,Closed,1995-08-01T04:00:00.000Z,250833,236490,0,0,221032,0,5617,9841,3101cbbdd831d1e8c3ba18eb605f3763,2020-01-09T15:07:39.062Z,5d1fafd987fac86ceb885623
1769,Closed,2014-06-02T04:00:00.000Z,1207630,812801,0,0,812801,0,0,0,e8343998f40b4e51ea0bfbd257b0c7bc,2020-01-09T15:07:39.465Z,5d1fafd987fac86ceb885624
1068,Closed,2001-01-23T05:00:00.000Z,4032798,644106,0,0,611198,0,13610,19298,458856a469ef77c92d5cb9b68769f2d5,2020-01-09T15:07:39.510Z,5d1fafd987fac86ceb885625
990,Closed,1998-01-09T05:00:00.000Z,77186,79599,0,0,72906,0,2318,4375,aa97ec3019775b3323f45102a5a59069,2020-01-09T15:07:39.569Z,5d1fafd987fac86ceb885626
4396,Open,,1180110,0,0,0,0,0,0,0,bde14bd9b5d8ccb228bcd17cf4400649,2020-01-09T15:07:39.626Z,5d1fafd987fac86ceb885627
1525,Closed,2007-03-21T04:00:00.000Z,144980,7249,0,0,7249,0,0,0,981bbc5df47bd3c1bf46e7028e00aa4c,2020-01-09T15:07:39.515Z,5d1fafd987fac86ceb885628
1673,Closed,2013-06-12T04:00:00.000Z,1275000,1213406,0,0,1212087,0,217,1102,1fee5442484e3e9d1082c6748b44cab5,2020-01-09T15:07:39.626Z,5d1fafd987fac86ceb885629
4432,Open,,5780906,0,0,0,0,0,0,0,777e7953c1607bf51486a1a1be8af904,2020-06-02T16:33:56.024Z,5d1fafd987fac86ceb88562a
921,Closed,1995-10-30T05:00:00.000Z,204945,219426,0,0,204945,0,5283,9198,5122a250268bd46e70cf5400c9c4852d,2020-01-09T15:07:39.051Z,5d1fafd987fac86ceb88562b
1777,Closed,2015-12-16T05:00:00.000Z,2358549,1175154,193819,37832,834014,109489,0,0,9d343dd6d657fea69f0186687e130955,2020-01-09T15:07:39.488Z,5d1fafd987fac86ceb88562c
983,Closed,2001-11-20T05:00:00.000Z,474895,505868,0,0,474895,0,10899,20074,dfb0cb945021d6a266ebcaee5cd9a36e,2020-01-09T15:07:39.530Z,5d1fafd987fac86ceb88562d
1229,Closed,2004-04-28T04:00:00.000Z,2191003,2031255,45150,0,1900395,0,31003,54707,1aec4c33de3ccfa58937d90c9fd0439d,2020-01-09T15:07:39.539Z,5d1fafd987fac86ceb88562e
1755,Closed,2016-05-31T04:00:00.000Z,825863,211419,30000,0,181136,283,0,0,4c85cedfde9f15820bc535071bcaed5b,2020-01-09T15:07:39.607Z,5d1fafd987fac86ceb88562f
4421,Open,,34368936,31494410.5,0,0,30190130.5,493657,0,0,ca1122eeb60a8810f29c35f7a9245eb0,2020-05-27T17:01:14.522Z,5d1fafd987fac86ceb885630
1426,Closed,2011-04-05T04:00:00.000Z,7779018,7923456,0,0,7665328,113690,26104,118334,2bd82de42ba35d9d2504778cb3c66997,2020-01-09T15:07:39.071Z,5d1fafd987fac86ceb885631
1878,Closed,2014-07-14T04:00:00.000Z,1100036,54775,54775,0,0,0,0,0,534d64d521d2b6921a47499d3b95c383,2020-01-09T15:07:39.426Z,5d1fafd987fac86ceb885632
1074,Closed,2003-03-12T05:00:00.000Z,1930494,2025216,439445,0,1488778,0,30965,66028,47655143c9c1d08b48505dd62b5fe796,2020-01-09T15:07:39.608Z,5d1fafd987fac86ceb885633
1657,Closed,2011-06-30T04:00:00.000Z,87638,73741,0,11250,47939,10179,2005,2368,e0dcd1c3f0ead004ebbb5839697d8242,2020-01-09T15:07:39.549Z,5d1fafd987fac86ceb885634
